﻿EARTHID,CENTERLON,CENTERLAT,CENTERX,CENTERY,LEFTLOST,REALLEFTLON,REALRIGHTLON,REALTOPLAT,REALBOTTOMLAT,ANGLEPER100LON,ANGLEPER100LAT
220,-171,-31.5,500000,-3486411.20610157,33.46660029,-173.9996478,-167.9996478,-30,-33,0.00105239,0.00090189   
221,-171,-28.5,500000,-3153853.4927457,14.03072666,-173.99985673,-167.99985673,-27,-30,0.00102115,0.0009023   
222,-171,-25.5,500000,-2821442.47981127,99.4719521,-173.99901089,-167.99901089,-24,-27,0.00099436,0.00090269  
223,-171,-22.5,500000,-2489167.30921038,10.79708313,-173.9998951,-167.9998951,-21,-24,0.00097154,0.00090304   
224,-171,-19.5,500000,-2157015.65802494,66.77590742,-173.99936411,-167.99936411,-18,-21,0.00095228,0.00090336 
225,-171,-16.5,500000,-1824973.87399879,83.90574542,-173.99921441,-167.99921441,-15,-18,0.00093628,0.00090364 
226,-171,-13.5,500000,-1493027.12455401,76.38115199,-173.99929478,-167.99929478,-12,-15,0.00092329,0.00090387 
227,-171,-10.5,500000,-1161159.55772507,56.06850236,-173.99948803,-167.99948803,-9,-12,0.00091312,0.00090407  
228,-171,-7.5,500000,-829354.47331754,32.48521928,-173.99970581,-167.99970581,-6,-9,0.00090561,0.00090421     
229,-171,-4.5,500000,-497594.50252586,12.7834274,-173.99988486,-167.99988486,-3,-6,0.00090067,0.00090431      
230,-171,-1.5,500000,-165861.79418815,1.7378567,-173.99998439,-167.99998439,0,-3,0.00089821,0.00090436        
231,-171,1.5,500000,165861.79418815,1.7378567,-173.99998439,-167.99998439,3,0,0.00089821,0.00090436           
232,-171,4.5,500000,497594.50252586,12.7834274,-173.99988486,-167.99988486,6,3,0.00090067,0.00090431          
233,-171,7.5,500000,829354.47331754,32.48521928,-173.99970581,-167.99970581,9,6,0.00090561,0.00090421         
234,-171,10.5,500000,1161159.55772507,56.06850236,-173.99948803,-167.99948803,12,9,0.00091312,0.00090407      
235,-171,13.5,500000,1493027.12455401,76.38115199,-173.99929478,-167.99929478,15,12,0.00092329,0.00090387     
236,-171,16.5,500000,1824973.87399879,83.90574542,-173.99921441,-167.99921441,18,15,0.00093628,0.00090364     
237,-171,19.5,500000,2157015.65802494,66.77590742,-173.99936411,-167.99936411,21,18,0.00095228,0.00090336     
238,-171,22.5,500000,2489167.30921038,10.79708313,-173.9998951,-167.9998951,24,21,0.00097154,0.00090304       
239,-171,25.5,500000,2821442.47981127,99.4719521,-173.99901089,-167.99901089,27,24,0.00099436,0.00090269      
240,-171,28.5,500000,3153853.4927457,14.03072666,-173.99985673,-167.99985673,30,27,0.00102115,0.0009023       
241,-171,31.5,500000,3486411.20610157,33.46660029,-173.9996478,-167.9996478,33,30,0.00105239,0.00090189       
242,-171,34.5,500000,3819124.89267168,34.5766259,-173.99962357,-167.99962357,36,33,0.00108867,0.00090146      
243,-171,37.5,500000,4152002.13589837,92.00830929,-173.99895961,-167.99895961,39,36,0.00113076,0.00090101     
244,-171,40.5,500000,4485048.7434723,78.31219901,-173.99907622,-167.99907622,42,39,0.00117961,0.00090054      
245,-171,43.5,500000,4818268.67967382,64.00073932,-173.99920868,-167.99920868,45,42,0.00123642,0.00090007     
246,-171,46.5,500000,5151664.0173716,17.6136281,-173.99977054,-167.99977054,48,45,0.00130275,0.0008996        
247,-171,49.5,500000,5485234.9104024,5.78988637,-173.99992006,-167.99992006,51,48,0.00138062,0.00089912       
248,-171,52.5,500000,5818979.58684792,93.34679988,-173.99862528,-167.99862528,54,51,0.00147271,0.00089866     
249,-171,55.5,500000,6152894.36350265,43.36583804,-173.99931367,-167.99931367,57,54,0.00158264,0.00089821     
250,-171,58.5,500000,6486973.68159123,17.28559012,-173.99970348,-167.99970348,60,57,0.00171544,0.00089778     
251,-171,61.5,500000,6821210.16354846,75.00168639,-173.9985913,-167.9985913,63,60,0.00187823,0.00089737       
252,-171,64.5,500000,7155594.69042272,74.9735918,-173.99843941,-167.99843941,66,63,0.00208153,0.00089698      
253,-171,67.5,500000,7490116.49920736,74.3380756,-173.99825941,-167.99825941,69,66,0.00234145,0.00089663      
254,-171,70.5,500000,7824763.29914969,29.02907273,-173.99922084,-167.99922084,72,69,0.00268406,0.00089631     
255,-171,73.5,500000,8159521.40583675,93.90356377,-173.99703793,-167.99703793,75,72,0.00315437,0.00089604     
256,-171,76.5,500000,8494375.89161647,22.87301296,-173.99912226,-167.99912226,78,75,0.00383744,0.0008958      
257,-171,79.5,500000,8829310.75068659,69.03981958,-173.99660632,-167.99660632,81,78,0.00491554,0.00089561     
258,-171,82.5,500000,9164309.07697639,84.83815949,-173.99417789,-167.99417789,84,81,0.00686261,0.00089546     
259,-171,85.5,500000,9499353.25276234,22.17852291,-173.997468,-167.997468,87,84,0.01141647,0.00089536         
260,-171,88.5,500000,9834425.14580183,32.59519388,-173.98884669,-167.98884669,90,87,0.03421765,0.00089531     
301,-165,-88.5,500000,-9834425.14580183,32.59519388,-167.98884669,-161.98884669,-87,-90,0.03421765,0.00089531 
302,-165,-85.5,500000,-9499353.25276234,22.17852291,-167.997468,-161.997468,-84,-87,0.01141647,0.00089536     
303,-165,-82.5,500000,-9164309.07697639,84.83815949,-167.99417789,-161.99417789,-81,-84,0.00686261,0.00089546 
304,-165,-79.5,500000,-8829310.75068659,69.03981958,-167.99660632,-161.99660632,-78,-81,0.00491554,0.00089561 
305,-165,-76.5,500000,-8494375.89161647,22.87301296,-167.99912226,-161.99912226,-75,-78,0.00383744,0.0008958  
306,-165,-73.5,500000,-8159521.40583675,93.90356377,-167.99703793,-161.99703793,-72,-75,0.00315437,0.00089604 
307,-165,-70.5,500000,-7824763.29914969,29.02907273,-167.99922084,-161.99922084,-69,-72,0.00268406,0.00089631 
308,-165,-67.5,500000,-7490116.49920736,74.3380756,-167.99825941,-161.99825941,-66,-69,0.00234145,0.00089663  
309,-165,-64.5,500000,-7155594.69042272,74.9735918,-167.99843941,-161.99843941,-63,-66,0.00208153,0.00089698  
310,-165,-61.5,500000,-6821210.16354846,75.00168639,-167.9985913,-161.9985913,-60,-63,0.00187823,0.00089737   
311,-165,-58.5,500000,-6486973.68159123,17.28559012,-167.99970348,-161.99970348,-57,-60,0.00171544,0.00089778 
312,-165,-55.5,500000,-6152894.36350265,43.36583804,-167.99931367,-161.99931367,-54,-57,0.00158264,0.00089821 
313,-165,-52.5,500000,-5818979.58684792,93.34679988,-167.99862528,-161.99862528,-51,-54,0.00147271,0.00089866 
314,-165,-49.5,500000,-5485234.9104024,5.78988637,-167.99992006,-161.99992006,-48,-51,0.00138062,0.00089912   
315,-165,-46.5,500000,-5151664.0173716,17.6136281,-167.99977054,-161.99977054,-45,-48,0.00130275,0.0008996    
316,-165,-43.5,500000,-4818268.67967382,64.00073932,-167.99920868,-161.99920868,-42,-45,0.00123642,0.00090007 
317,-165,-40.5,500000,-4485048.7434723,78.31219901,-167.99907622,-161.99907622,-39,-42,0.00117961,0.00090054  
318,-165,-37.5,500000,-4152002.13589837,92.00830929,-167.99895961,-161.99895961,-36,-39,0.00113076,0.00090101 
319,-165,-34.5,500000,-3819124.89267168,34.5766259,-167.99962357,-161.99962357,-33,-36,0.00108867,0.00090146  
320,-165,-31.5,500000,-3486411.20610157,33.46660029,-167.9996478,-161.9996478,-30,-33,0.00105239,0.00090189   
321,-165,-28.5,500000,-3153853.4927457,14.03072666,-167.99985673,-161.99985673,-27,-30,0.00102115,0.0009023   
322,-165,-25.5,500000,-2821442.47981127,99.4719521,-167.99901089,-161.99901089,-24,-27,0.00099436,0.00090269  
323,-165,-22.5,500000,-2489167.30921038,10.79708313,-167.9998951,-161.9998951,-21,-24,0.00097154,0.00090304   
324,-165,-19.5,500000,-2157015.65802494,66.77590742,-167.99936411,-161.99936411,-18,-21,0.00095228,0.00090336 
325,-165,-16.5,500000,-1824973.87399879,83.90574542,-167.99921441,-161.99921441,-15,-18,0.00093628,0.00090364 
326,-165,-13.5,500000,-1493027.12455401,76.38115199,-167.99929478,-161.99929478,-12,-15,0.00092329,0.00090387 
327,-165,-10.5,500000,-1161159.55772507,56.06850236,-167.99948803,-161.99948803,-9,-12,0.00091312,0.00090407  
328,-165,-7.5,500000,-829354.47331754,32.48521928,-167.99970581,-161.99970581,-6,-9,0.00090561,0.00090421     
329,-165,-4.5,500000,-497594.50252586,12.7834274,-167.99988486,-161.99988486,-3,-6,0.00090067,0.00090431      
330,-165,-1.5,500000,-165861.79418815,1.7378567,-167.99998439,-161.99998439,0,-3,0.00089821,0.00090436        
331,-165,1.5,500000,165861.79418815,1.7378567,-167.99998439,-161.99998439,3,0,0.00089821,0.00090436           
332,-165,4.5,500000,497594.50252586,12.7834274,-167.99988486,-161.99988486,6,3,0.00090067,0.00090431          
333,-165,7.5,500000,829354.47331754,32.48521928,-167.99970581,-161.99970581,9,6,0.00090561,0.00090421         
334,-165,10.5,500000,1161159.55772507,56.06850236,-167.99948803,-161.99948803,12,9,0.00091312,0.00090407      
335,-165,13.5,500000,1493027.12455401,76.38115199,-167.99929478,-161.99929478,15,12,0.00092329,0.00090387     
336,-165,16.5,500000,1824973.87399879,83.90574542,-167.99921441,-161.99921441,18,15,0.00093628,0.00090364     
337,-165,19.5,500000,2157015.65802494,66.77590742,-167.99936411,-161.99936411,21,18,0.00095228,0.00090336     
338,-165,22.5,500000,2489167.30921038,10.79708313,-167.9998951,-161.9998951,24,21,0.00097154,0.00090304       
339,-165,25.5,500000,2821442.47981127,99.4719521,-167.99901089,-161.99901089,27,24,0.00099436,0.00090269      
340,-165,28.5,500000,3153853.4927457,14.03072666,-167.99985673,-161.99985673,30,27,0.00102115,0.0009023       
341,-165,31.5,500000,3486411.20610157,33.46660029,-167.9996478,-161.9996478,33,30,0.00105239,0.00090189       
342,-165,34.5,500000,3819124.89267168,34.5766259,-167.99962357,-161.99962357,36,33,0.00108867,0.00090146      
343,-165,37.5,500000,4152002.13589837,92.00830929,-167.99895961,-161.99895961,39,36,0.00113076,0.00090101     
344,-165,40.5,500000,4485048.7434723,78.31219901,-167.99907622,-161.99907622,42,39,0.00117961,0.00090054      
345,-165,43.5,500000,4818268.67967382,64.00073932,-167.99920868,-161.99920868,45,42,0.00123642,0.00090007     
346,-165,46.5,500000,5151664.0173716,17.6136281,-167.99977054,-161.99977054,48,45,0.00130275,0.0008996        
347,-165,49.5,500000,5485234.9104024,5.78988637,-167.99992006,-161.99992006,51,48,0.00138062,0.00089912       
348,-165,52.5,500000,5818979.58684792,93.34679988,-167.99862528,-161.99862528,54,51,0.00147271,0.00089866     
349,-165,55.5,500000,6152894.36350265,43.36583804,-167.99931367,-161.99931367,57,54,0.00158264,0.00089821     
350,-165,58.5,500000,6486973.68159123,17.28559012,-167.99970348,-161.99970348,60,57,0.00171544,0.00089778     
351,-165,61.5,500000,6821210.16354846,75.00168639,-167.9985913,-161.9985913,63,60,0.00187823,0.00089737       
352,-165,64.5,500000,7155594.69042272,74.9735918,-167.99843941,-161.99843941,66,63,0.00208153,0.00089698      
353,-165,67.5,500000,7490116.49920736,74.3380756,-167.99825941,-161.99825941,69,66,0.00234145,0.00089663      
354,-165,70.5,500000,7824763.29914969,29.02907273,-167.99922084,-161.99922084,72,69,0.00268406,0.00089631     
355,-165,73.5,500000,8159521.40583675,93.90356377,-167.99703793,-161.99703793,75,72,0.00315437,0.00089604     
356,-165,76.5,500000,8494375.89161647,22.87301296,-167.99912226,-161.99912226,78,75,0.00383744,0.0008958      
357,-165,79.5,500000,8829310.75068659,69.03981958,-167.99660632,-161.99660632,81,78,0.00491554,0.00089561     
358,-165,82.5,500000,9164309.07697639,84.83815949,-167.99417789,-161.99417789,84,81,0.00686261,0.00089546     
359,-165,85.5,500000,9499353.25276234,22.17852291,-167.997468,-161.997468,87,84,0.01141647,0.00089536         
360,-165,88.5,500000,9834425.14580183,32.59519388,-167.98884669,-161.98884669,90,87,0.03421765,0.00089531     
401,-159,-88.5,500000,-9834425.14580183,32.59519388,-161.98884669,-155.98884669,-87,-90,0.03421765,0.00089531 
402,-159,-85.5,500000,-9499353.25276234,22.17852291,-161.997468,-155.997468,-84,-87,0.01141647,0.00089536     
403,-159,-82.5,500000,-9164309.07697639,84.83815949,-161.99417789,-155.99417789,-81,-84,0.00686261,0.00089546 
404,-159,-79.5,500000,-8829310.75068659,69.03981958,-161.99660632,-155.99660632,-78,-81,0.00491554,0.00089561 
405,-159,-76.5,500000,-8494375.89161647,22.87301296,-161.99912226,-155.99912226,-75,-78,0.00383744,0.0008958  
406,-159,-73.5,500000,-8159521.40583675,93.90356377,-161.99703793,-155.99703793,-72,-75,0.00315437,0.00089604 
407,-159,-70.5,500000,-7824763.29914969,29.02907273,-161.99922084,-155.99922084,-69,-72,0.00268406,0.00089631 
408,-159,-67.5,500000,-7490116.49920736,74.3380756,-161.99825941,-155.99825941,-66,-69,0.00234145,0.00089663  
409,-159,-64.5,500000,-7155594.69042272,74.9735918,-161.99843941,-155.99843941,-63,-66,0.00208153,0.00089698  
410,-159,-61.5,500000,-6821210.16354846,75.00168639,-161.9985913,-155.9985913,-60,-63,0.00187823,0.00089737   
411,-159,-58.5,500000,-6486973.68159123,17.28559012,-161.99970348,-155.99970348,-57,-60,0.00171544,0.00089778 
412,-159,-55.5,500000,-6152894.36350265,43.36583804,-161.99931367,-155.99931367,-54,-57,0.00158264,0.00089821 
413,-159,-52.5,500000,-5818979.58684792,93.34679988,-161.99862528,-155.99862528,-51,-54,0.00147271,0.00089866 
414,-159,-49.5,500000,-5485234.9104024,5.78988637,-161.99992006,-155.99992006,-48,-51,0.00138062,0.00089912   
415,-159,-46.5,500000,-5151664.0173716,17.6136281,-161.99977054,-155.99977054,-45,-48,0.00130275,0.0008996    
416,-159,-43.5,500000,-4818268.67967382,64.00073932,-161.99920868,-155.99920868,-42,-45,0.00123642,0.00090007 
417,-159,-40.5,500000,-4485048.7434723,78.31219901,-161.99907622,-155.99907622,-39,-42,0.00117961,0.00090054  
418,-159,-37.5,500000,-4152002.13589837,92.00830929,-161.99895961,-155.99895961,-36,-39,0.00113076,0.00090101 
419,-159,-34.5,500000,-3819124.89267168,34.5766259,-161.99962357,-155.99962357,-33,-36,0.00108867,0.00090146  
420,-159,-31.5,500000,-3486411.20610157,33.46660029,-161.9996478,-155.9996478,-30,-33,0.00105239,0.00090189   
421,-159,-28.5,500000,-3153853.4927457,14.03072666,-161.99985673,-155.99985673,-27,-30,0.00102115,0.0009023   
422,-159,-25.5,500000,-2821442.47981127,99.4719521,-161.99901089,-155.99901089,-24,-27,0.00099436,0.00090269  
423,-159,-22.5,500000,-2489167.30921038,10.79708313,-161.9998951,-155.9998951,-21,-24,0.00097154,0.00090304   
424,-159,-19.5,500000,-2157015.65802494,66.77590742,-161.99936411,-155.99936411,-18,-21,0.00095228,0.00090336 
425,-159,-16.5,500000,-1824973.87399879,83.90574542,-161.99921441,-155.99921441,-15,-18,0.00093628,0.00090364 
426,-159,-13.5,500000,-1493027.12455401,76.38115199,-161.99929478,-155.99929478,-12,-15,0.00092329,0.00090387 
427,-159,-10.5,500000,-1161159.55772507,56.06850236,-161.99948803,-155.99948803,-9,-12,0.00091312,0.00090407  
428,-159,-7.5,500000,-829354.47331754,32.48521928,-161.99970581,-155.99970581,-6,-9,0.00090561,0.00090421     
429,-159,-4.5,500000,-497594.50252586,12.7834274,-161.99988486,-155.99988486,-3,-6,0.00090067,0.00090431      
430,-159,-1.5,500000,-165861.79418815,1.7378567,-161.99998439,-155.99998439,0,-3,0.00089821,0.00090436        
431,-159,1.5,500000,165861.79418815,1.7378567,-161.99998439,-155.99998439,3,0,0.00089821,0.00090436           
432,-159,4.5,500000,497594.50252586,12.7834274,-161.99988486,-155.99988486,6,3,0.00090067,0.00090431          
433,-159,7.5,500000,829354.47331754,32.48521928,-161.99970581,-155.99970581,9,6,0.00090561,0.00090421         
434,-159,10.5,500000,1161159.55772507,56.06850236,-161.99948803,-155.99948803,12,9,0.00091312,0.00090407      
435,-159,13.5,500000,1493027.12455401,76.38115199,-161.99929478,-155.99929478,15,12,0.00092329,0.00090387     
436,-159,16.5,500000,1824973.87399879,83.90574542,-161.99921441,-155.99921441,18,15,0.00093628,0.00090364     
437,-159,19.5,500000,2157015.65802494,66.77590742,-161.99936411,-155.99936411,21,18,0.00095228,0.00090336     
438,-159,22.5,500000,2489167.30921038,10.79708313,-161.9998951,-155.9998951,24,21,0.00097154,0.00090304       
439,-159,25.5,500000,2821442.47981127,99.4719521,-161.99901089,-155.99901089,27,24,0.00099436,0.00090269      
440,-159,28.5,500000,3153853.4927457,14.03072666,-161.99985673,-155.99985673,30,27,0.00102115,0.0009023       
441,-159,31.5,500000,3486411.20610157,33.46660029,-161.9996478,-155.9996478,33,30,0.00105239,0.00090189       
442,-159,34.5,500000,3819124.89267168,34.5766259,-161.99962357,-155.99962357,36,33,0.00108867,0.00090146      
443,-159,37.5,500000,4152002.13589837,92.00830929,-161.99895961,-155.99895961,39,36,0.00113076,0.00090101     
444,-159,40.5,500000,4485048.7434723,78.31219901,-161.99907622,-155.99907622,42,39,0.00117961,0.00090054      
445,-159,43.5,500000,4818268.67967382,64.00073932,-161.99920868,-155.99920868,45,42,0.00123642,0.00090007     
446,-159,46.5,500000,5151664.0173716,17.6136281,-161.99977054,-155.99977054,48,45,0.00130275,0.0008996        
447,-159,49.5,500000,5485234.9104024,5.78988637,-161.99992006,-155.99992006,51,48,0.00138062,0.00089912       
448,-159,52.5,500000,5818979.58684792,93.34679988,-161.99862528,-155.99862528,54,51,0.00147271,0.00089866     
449,-159,55.5,500000,6152894.36350265,43.36583804,-161.99931367,-155.99931367,57,54,0.00158264,0.00089821     
450,-159,58.5,500000,6486973.68159123,17.28559012,-161.99970348,-155.99970348,60,57,0.00171544,0.00089778     
451,-159,61.5,500000,6821210.16354846,75.00168639,-161.9985913,-155.9985913,63,60,0.00187823,0.00089737       
452,-159,64.5,500000,7155594.69042272,74.9735918,-161.99843941,-155.99843941,66,63,0.00208153,0.00089698      
